id;description;producer;amount;category;price;picture;picture_content_type
1;Buckinghamshire;Small online;maroon copy;SWEETS;1754;../fake-data/blob/hipster.png;image/png
2;compress;Borders Cocos (Keeling) Islands visualize;e-business microchip fuchsia;SWEETS;37418;../fake-data/blob/hipster.png;image/png
3;generating;Dynamic Principal;Persistent alliance;SWEETS;90372;../fake-data/blob/hipster.png;image/png
4;RSS HTTP transmitting;International static Borders;Mouse;MILKPRODUCTS;63963;../fake-data/blob/hipster.png;image/png
5;user-centric;online;optical Virginia XSS;DRUGSTORE;85598;../fake-data/blob/hipster.png;image/png
6;Borders matrix;Implementation Pre-emptive;Rustic Frozen Mouse;ELECTRONIC;75648;../fake-data/blob/hipster.png;image/png
7;Jordanian Dinar compress Sleek;Representative yellow;Berkshire;ELECTRONIC;12067;../fake-data/blob/hipster.png;image/png
8;Plastic;Applications Shores Incredible Cotton Pizza;invoice;BEVERAGE;10230;../fake-data/blob/hipster.png;image/png
9;Tools Savings Account Som;Cambridgeshire;Clothing RSS Metal;BAKERY;74860;../fake-data/blob/hipster.png;image/png
10;Islands AGP Comoro Franc;Berkshire;Bosnia and Herzegovina matrix;SWEETS;83178;../fake-data/blob/hipster.png;image/png
